obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
78233-1811-1,78233-1811,Opening Year,unknown,unknown,2012,00:00:00,23:59:59,volume,45815
78233-1812-1,78233-1812,Opening Year,unknown,unknown,2012,00:00:00,23:59:59,volume,45815
78233-1816-1,78233-1816,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,8230
78233-1819-1,78233-1819,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1820-1,78233-1820,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1821-1,78233-1821,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1822-1,78233-1822,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1823-1,78233-1823,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1824-1,78233-1824,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1825-1,78233-1825,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1826-1,78233-1826,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,27440
78233-1827-1,78233-1827,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,38700
78233-1828-1,78233-1828,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,38700
78233-1829-1,78233-1829,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,38700
78233-1830-1,78233-1830,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,38700
78233-1831-1,78233-1831,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,21400
78233-1832-1,78233-1832,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,21400
78233-1833-1,78233-1833,Opening Year,unknown,unknown,2013,00:00:00,23:59:59,volume,21400
