obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
76691-3051-1,76691-3051,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,35425
76691-3051-1,76691-3051,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,36490
76691-3052-1,76691-3052,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,33651
76691-3052-1,76691-3052,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,33820
76691-3053-1,76691-3053,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,35363
76691-3053-1,76691-3053,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,36580
76691-3054-1,76691-3054,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,35363
76691-3054-1,76691-3054,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,37720
76691-3055-1,76691-3055,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,35663
76691-3055-1,76691-3055,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,39560
76691-3056-1,76691-3056,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,35663
76691-3056-1,76691-3056,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,39310
76691-3057-1,76691-3057,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,38102
76691-3057-1,76691-3057,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,41490
76691-3058-1,76691-3058,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,33446
76691-3058-1,76691-3058,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,34800
76691-3059-1,76691-3059,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,4582
76691-3059-1,76691-3059,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,8230
76691-3060-1,76691-3060,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,11179
76691-3060-1,76691-3060,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,25030
76691-3061-1,76691-3061,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,21540
76691-3061-1,76691-3061,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,30410
76691-3062-1,76691-3062,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,16041
76691-3062-1,76691-3062,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,19560
76691-3063-1,76691-3063,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,13666
76691-3063-1,76691-3063,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,16930
76691-3064-1,76691-3064,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,3045
76691-3064-1,76691-3064,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,5140
76691-3065-1,76691-3065,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,13666
76691-3065-1,76691-3065,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,11320
